Source,Destination,Info,Label
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Cleartosend Flags',0
b'X',b'TPLink_02b6fc 005f6702b6fc RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'b2dbb4b2355b b2dbb4b2355b RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Alcatel_194fb0 dc0856194fb0 RA',b'Cleartosend Flags',0
b'X',b'Alcatel_194fb1 dc0856194fb1 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'b2dbb4b2355b b2dbb4b2355b RA',b'Acknowledgement Flags',0
b'X',b'b2dbb4b2355b b2dbb4b2355b RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'b2dbb4b2355b b2dbb4b2355b RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Broadcom_0813d8 e03e440813d8 RA',b'Cleartosend Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'X',b'Google_841f28 ac6784841f28 RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'X',b'86a355c15207 86a355c15207 RA',b'Acknowledgement Flags',0
b'b2dbb4b2355b',b'86a355c15207',b'Deauthentication  Flags',1
b'86a355c15207',b'b2dbb4b2355b',b'Deauthentication  Flags',1
